,t,xr,xr_dot,xw,yr,θr,θr_dot,θw,θw_dot,tau,tau_p1,tau_p1_nn,xr_sp,θr_sp
519,18.165000000000063,-0.2601343194489991,0.047641723259677526,1.7482270253735632,5.653891112200739,-0.3413153873142626,0.20552983465828678,0.4370567563433908,-0.2963843211725108,-47.8303709,-52.2517267,-56.47771696360996,-0.2459700507293741,0.0
520,18.200000000000063,-0.260963156772001,0.046065278033156076,1.7062005695294618,5.668356629034887,-0.3340381332479209,0.21034268959203206,0.42655014238236544,-0.3039977148797591,-52.2517267,-52.9376995,-56.99734472427551,-0.2459700507293741,0.0
521,18.235000000000063,-0.2617713919720923,0.04603811235896815,1.6630975596464164,5.68285839336993,-0.3265861417434787,0.2155156079972428,0.4157743899116041,-0.31176388390612214,-52.9376995,-52.4030748,-55.82105618325305,-0.2459700507293741,0.0
522,18.270000000000064,-0.26251930729112294,0.04655700279411379,1.6189111545286456,5.697387069292085,-0.3189521624970144,0.2207427940330581,0.4047277886321614,-0.3194749403510587,-52.4030748,-50.4748699,-53.92288215005857,-0.2459700507293741,0.0
523,18.305000000000064,-0.2632012938659569,0.04647238693993505,1.5736657471782771,5.711910317356654,-0.3111404291977038,0.22567376444980414,0.3934164367945693,-0.32689254993972244,-50.4748699,-48.4451523,-51.58850358732861,-0.2459700507293741,0.0
524,18.340000000000064,-0.26383157916505673,0.04572299682632108,1.5274036383561247,5.726384234009437,-0.303161690542212,0.23028669652189848,0.3818509095890312,-0.33399929557626745,-48.4451523,-46.582702,-49.17754899549279,-0.2459700507293741,0.0
525,18.375000000000064,-0.2644235330869138,0.044473036509027564,1.4801663433531134,5.7407670361218255,-0.2950262639287634,0.2346280610962929,0.37004158583827834,-0.34082383251718246,-46.582702,-44.8525702,-46.73947799407252,-0.2459700507293741,0.0
526,18.410000000000064,-0.26498649441573097,0.04285608406626662,1.4319917822281047,5.755020827816257,-0.28674299911381507,0.23873526247867785,0.3579979455570262,-0.34738887270145014,-44.8525702,-43.2266647,-44.2692474132099,-0.2459700507293741,0.0
527,18.445000000000064,-0.2655265749149276,0.04098100990257758,1.3829150338037786,5.769110872798762,-0.27831956519349543,0.24263839864892006,0.34572875845094464,-0.3537123454977357,-43.2266647,-41.6684217,-41.77947190517667,-0.2459700507293741,0.0
528,18.480000000000064,-0.2660474683522507,0.03892500610192551,1.3329690521218294,5.783004942696397,-0.269762728080632,0.2463581183543749,0.33324226303045734,-0.35980592600608097,-41.6684217,-40.1513557,-39.30141301801861,-0.2459700507293741,0.0
